"Name","Category","Price","Currency","Description","Available"
"Agushi(Melon powder)","African Grocery",7.99,"CAD","300g","1"
"Bitiku (Frozen)","African Grocery",5.99,"CAD","500g","1"
"Chunk Light Tuna in oil","African Grocery",1.99,"CAD","170g","1"
"Chunk Light Tuna in water","African Grocery",1.99,"CAD","170g","1"
"Corn Porridge","African Grocery",6.99,"CAD","1kg","1"
"Dried Red Sorrel","African Grocery",5.99,"CAD","125 g","1"
"Fufu Cocoyam","African Grocery",8.49,"CAD","680g","1"
"Fufu Plantain","African Grocery",8.49,"CAD","680 gm","1"
"Fumbwa (Frozen)","African Grocery",6.99,"CAD","250g","1"
"Jack Mackerel in Can","African Grocery",4.99,"CAD","425g","1"
"Jack Mackerel in Tomato Sauce","African Grocery",4.49,"CAD","425g","1"
"Matembele (Frozen)","African Grocery",5.99,"CAD","500g","1"
"Ngai Ngai (Frozen)","African Grocery",5.99,"CAD","500g","1"
"Okra  (Frozen)","African Grocery",2.99,"CAD","250g","1"
"Palm Oil","African Grocery",8.99,"CAD","1 lit","1"
"Palmnut Cream","African Grocery",5.99,"CAD","800g","1"
"Pondu (Frozen)","African Grocery",5.99,"CAD","1 Kg","1"
"Spinach  (Frozen)","African Grocery",5.49,"CAD","900g","1"
"Titus Sardinas in Soybean","African Grocery",1.99,"CAD","123g","1"
"Yellow Gari","African Grocery",5.99,"CAD","1kg","1"
"Banoful Bay Leaf","Banoful & Kishwan Snacks",2.99,"CAD","100g","1"
"Banoful BBQ Chanachur","Banoful & Kishwan Snacks",3.99,"CAD","350g","1"
"Banoful Chanachur","Banoful & Kishwan Snacks",3.99,"CAD","350g","1"
"Banoful Chira Laddu","Banoful & Kishwan Snacks",5.99,"CAD","500g","0"
"Banoful Curry Powder","Banoful & Kishwan Snacks",3.99,"CAD","250g","1"
"Banoful Dry Cake","Banoful & Kishwan Snacks",4.99,"CAD","350g","1"
"Banoful Dry Cake Chocolate","Banoful & Kishwan Snacks",3.99,"CAD","350g","1"
"Banoful Dry Whole Chilli","Banoful & Kishwan Snacks",1.99,"CAD","100g","1"
"Banoful Flattened Rice (Chira)","Banoful & Kishwan Snacks",2.99,"CAD","500g","1"
"Banoful Fried Dal","Banoful & Kishwan Snacks",0.99,"CAD","30g","1"
"Banoful Fried Peas","Banoful & Kishwan Snacks",0.99,"CAD","30g","1"
"Banoful Hot Chanachur","Banoful & Kishwan Snacks",3.99,"CAD","350g","1"
"Banoful Lascha Semai","Banoful & Kishwan Snacks",2.99,"CAD","200g","1"
"Banoful Masala Chanachur","Banoful & Kishwan Snacks",3.99,"CAD","300g","1"
"Banoful Muri Laddu","Banoful & Kishwan Snacks",5.99,"CAD","325g","0"
"Banoful Musterd Oil","Banoful & Kishwan Snacks",3.99,"CAD","1000ml","1"
"Banoful Puffed Rice","Banoful & Kishwan Snacks",4.49,"CAD","400g","1"
"Banoful Toast(red)","Banoful & Kishwan Snacks",3.99,"CAD","350g","1"
"Banoful Vermicelli","Banoful & Kishwan Snacks",1.49,"CAD","200g","1"
"Kishawn Meat Masalla","Banoful & Kishwan Snacks",1.99,"CAD","100g","1"
"Kishiwan Horilicks Biscuit","Banoful & Kishwan Snacks",4.49,"CAD","350g","1"
"Kishwan Chatpati Mix","Banoful & Kishwan Snacks",1.99,"CAD","250g","1"
"Kishwan Fish Masalla","Banoful & Kishwan Snacks",1.99,"CAD","100g","1"
"Kishwan Halim Mix","Banoful & Kishwan Snacks",2.99,"CAD","200g","1"
"Kishwan Instant Noodles","Banoful & Kishwan Snacks",2.99,"CAD","65g*4","1"
"Kishwan Kasundi","Banoful & Kishwan Snacks",3.99,"CAD","265gm","1"
"Kishwan Khichuri Mix","Banoful & Kishwan Snacks",3.99,"CAD","500g","1"
"Kishwan Mango Bar","Banoful & Kishwan Snacks",9.99,"CAD","30*14gm","0"
"Kishwan Mango Pickle","Banoful & Kishwan Snacks",3.99,"CAD","400g","1"
"Kishwan Salted Cookies","Banoful & Kishwan Snacks",7.99,"CAD","800g","1"
"Kishwan Suger Free Cookies","Banoful & Kishwan Snacks",3.99,"CAD","300g","1"
"Kishwan Sweet Toast","Banoful & Kishwan Snacks",3.99,"CAD","350g","0"
"Kishwan Tea Time Cookies","Banoful & Kishwan Snacks",7.99,"CAD","800g","1"
"Mango Bar","Banoful & Kishwan Snacks",3.99,"CAD",NA,"1"
"Mr. Twist","Banoful & Kishwan Snacks",1.25,"CAD",NA,"1"
"Olive Pickle","Banoful & Kishwan Snacks",3.99,"CAD","400g","1"
"Potato Crackers","Banoful & Kishwan Snacks",1.25,"CAD",NA,"0"
"Coconut Charcoal 72 Pics","Barbecue",7.99,"CAD",NA,"0"
"Three Kings Charcoal","Barbecue",16.99,"CAD",NA,"1"
"Fanta","Beverages",2.99,"CAD","300ml","1"
"Frutika Mango Juice","Beverages",1.25,"CAD","250gm","0"
"Frutta Mango Juice","Beverages",2.99,"CAD","1 Liter","1"
"Frutta Mango Juice","Beverages",1.25,"CAD","250ml","0"
"ITN Mango Juice","Beverages",3.49,"CAD","3 Liters","1"
"ITN Mix Juice","Beverages",9.99,"CAD","3 Liters","1"
