"single_product_name","single_product_category","single_product_price","single_product_currency","single_product_discription","single_product_availability"
"Agushi(Melon powder)","African Grocery","7.99","CAD","300g","yes"
"Bitiku (Frozen)","African Grocery","5.99","CAD","500g","yes"
"Chunk Light Tuna in oil","African Grocery","1.99","CAD","170g","yes"
"Chunk Light Tuna in water","African Grocery","1.99","CAD","170g","yes"
"Corn Porridge","African Grocery","6.99","CAD","1kg","yes"
"Dried Red Sorrel","African Grocery","5.99","CAD","125 g","yes"
"Fufu Cocoyam","African Grocery","8.49","CAD","680g","yes"
"Fufu Plantain","African Grocery","8.49","CAD","680 gm","yes"
"Fumbwa (Frozen)","African Grocery","6.99","CAD","250g","yes"
"Hard Wheat","African Grocery",NA,NA,"(Upcoming-product)","yes"
"Jack Mackerel in Can","African Grocery","4.99","CAD","425g","yes"
"Jack Mackerel in Tomato Sauce","African Grocery","4.49","CAD","425g","yes"
"Matembele (Frozen)","African Grocery","5.99","CAD","500g","yes"
"Ngai Ngai (Frozen)","African Grocery","5.99","CAD","500g","yes"
"Okra  (Frozen)","African Grocery","2.99","CAD","250g","yes"
"Palm Oil","African Grocery","8.99","CAD","1 lit","yes"
"Palmnut Cream","African Grocery","5.99","CAD","800g","yes"
"Pondu (Frozen)","African Grocery","5.99","CAD","1 Kg","yes"
"Spinach  (Frozen)","African Grocery","5.49","CAD","900g","yes"
"Titus Sardinas in Soybean","African Grocery","1.99","CAD","123g","yes"
"Yellow Gari","African Grocery","5.99","CAD","1kg","yes"
"Banoful Bay Leaf","Banoful & Kishwan Snacks","2.99","CAD","100g","yes"
"Banoful BBQ Chanachur","Banoful & Kishwan Snacks","3.99","CAD","350g","yes"
"Banoful Chanachur","Banoful & Kishwan Snacks","3.99","CAD","350g","yes"
"Banoful Chira Laddu","Banoful & Kishwan Snacks","5.99","CAD","500g","no"
"Banoful Curry Powder","Banoful & Kishwan Snacks","3.99","CAD","250g","yes"
"Banoful Dry Cake","Banoful & Kishwan Snacks","4.99","CAD","350g","yes"
"Banoful Dry Cake Chocolate","Banoful & Kishwan Snacks","3.99","CAD","350g","yes"
"Banoful Dry Whole Chilli","Banoful & Kishwan Snacks","1.99","CAD","100g","yes"
"Banoful Flattened Rice (Chira)","Banoful & Kishwan Snacks","2.99","CAD","500g","yes"
